"Stem_cells","Gonadotrophs","Corticotrophs","Melanotrophs","Lactotrophs","Somatotrophs","Thyrotrophs"
"NFIC","BATF::JUN","Atoh1","NFIX","POU4F1","POU4F1","POU4F1"
"NFIX","ASCL1","SIX1","CTCF","BATF3","Neurod2","Crx"
"SIX1","CTCF","GSC","Jun","Atoh1","BATF::JUN","CTCF"
"CTCF","NFIC::TLX1","TBX19","ASCL1","NFIC::TLX1","EGR1","RORA"
"RFX2","KLF8","CTCF","ZNF211","LMX1B","RFX2","THRA"
"AR","RFX2","Atf3","RFX2","CTCF","CTCF","AR"
"RFX4","NFYA","SP1","Tcf12","PITX3","CEBPA","NFIC::TLX1"
"KLF8","ZNF384","NFIX","ZNF320","SP1","CTCFL","PROP1"
"PITX2","SIX2","","Lhx1","RFX2","AR","BATF::JUN"
"SOX4","NRF1","AR","ZBTB7A","NFIC","TBP","RFX2"
